CODFILIAL|NOTAFISCAL|DESC_FORNECEDOR|DATAINCLUSAO|IDSTATUS
40|4536|JOSE ROBERTO N F PINTO LTDA   |14/12/2023 20:07:34|1
40|118114|SITIO SOLIDAO PROD AGROP LTDA |14/12/2023 20:08:45|1
40|63612|PNB COMERCIAL EIRELI          |14/12/2023 20:10:27|1
40|2589136|ATACADAO PAPELEX              |14/12/2023 20:11:24|1
40|95|BENDITA PIZZA SAUDAVEL ETC. LT|14/12/2023 20:12:21|1
40|25146|DEMATHE COMERCIAL LTDA        |14/12/2023 20:15:07|1
40|3101|MONTE SION COMER LTDA         |14/12/2023 20:17:03|1
40|55676|AGUA DE COCO MACENA LTDA      |14/12/2023 20:21:09|1
40|55736|AGUA DE COCO MACENA LTDA      |14/12/2023 20:22:18|1
40|1141879|IRMAOS FAUSTINO PORTO E CIA   |14/12/2023 20:24:10|1
40|4980|A.S.A LANCHONETE PROD EIRELI  |14/12/2023 20:26:55|1
40|2591635|FRIGORIFICO JAHU LTDA         |14/12/2023 20:27:51|1
40|29916|INDUSTRIA E COMERCIO PRODUTOS |14/12/2023 20:28:36|1
40|852295|WICKBOLD N PAO IND ALIM LTDA  |14/12/2023 20:29:41|1
40|10464|BRASIL SEAFOOD INDUSTRIA E COM|14/12/2023 20:30:42|1
40|230863|PRIME CATER COM PROD ALIM LTDA|14/12/2023 20:31:31|1
40|370485|PANIFICADORA PECPAO LTDA      |14/12/2023 20:33:47|1
40|3555|AGUAS PRATA LTDA              |14/12/2023 20:35:45|1
40|3565|AGUAS PRATA LTDA              |14/12/2023 20:36:56|1
40|3436778|LUA NOVA IND COM PROD ALIM|14/12/2023 20:37:45|1
40|24869|CIANO INDUSTRIA DE ALIM LTDA  |14/12/2023 20:38:38|1
40|667066|I DON FRANCESCO LATIC LTDA    |14/12/2023 20:43:49|1
40|667076|I DON FRANCESCO LATIC LTDA    |14/12/2023 20:46:09|1
40|667074|I DON FRANCESCO LATIC LTDA    |14/12/2023 20:46:45|1
40|2590695|FRIGORIFICO JAHU LTDA         |14/12/2023 20:47:34|1
40|469307|IND. E COM. LAT MARIA MADALENA|14/12/2023 20:50:17|1
40|4676|A FERMENTEIRA IND COM DE ALIM |14/12/2023 20:51:23|1
40|26427|PANIFICADORA SCHWARZBROT LTDA |14/12/2023 20:52:09|1
40|181526|FRUTICULA A RIBEIRO LTDA      |14/12/2023 20:52:54|1
40|372703|LAT RIBEIRO DE SOUZA IND LTDA |14/12/2023 20:57:04|1
40|382935|JFC NAT SALADS DIST PROD HORT |15/12/2023 06:43:07|1
40|382894|JFC NAT SALADS DIST PROD HORT |15/12/2023 06:43:34|1
40|282600|JFC DISTRIB LTDA              |15/12/2023 06:43:55|1
40|119867|MANOEL FERNANDO MORGADO CAMPAN|15/12/2023 06:44:15|1
40|211809|NATURAL FARMS AGRICOLA LTDA   |15/12/2023 06:44:34|1
40|86373|FAZENDA BELLE RIO LTDA        |15/12/2023 06:44:52|1
40|181591|FRUTICULA A RIBEIRO LTDA      |15/12/2023 06:54:24|1
43|3629|DELIRIE DELICIAS ARTESANAIS LT|15/12/2023 07:37:26|1
43|29917|INDUSTRIA E COMERCIO PRODUTOS |15/12/2023 07:37:58|1
43|382896|JFC NAT SALADS DIST PROD HORT |15/12/2023 07:38:30|1
43|211816|NATURAL FARMS AGRICOLA LTDA   |15/12/2023 07:39:07|1
43|382937|JFC NAT SALADS DIST PROD HORT |15/12/2023 07:39:32|1
43|119877|MANOEL FERNANDO MORGADO CAMPAN|15/12/2023 07:40:20|1
43|86375|FAZENDA BELLE RIO LTDA        |15/12/2023 07:40:48|1
43|181593|FRUTICULA A RIBEIRO LTDA      |15/12/2023 07:41:14|1
43|78935|VALE DAS PALMEIRAS LAT LTDA   |15/12/2023 11:21:10|1
43|667544|I DON FRANCESCO LATIC LTDA    |15/12/2023 11:21:31|1
43|49092|GRACIANO E VETTORI LTDA       |15/12/2023 11:21:58|1
43|74768|NORAC DO BRASIL IND ALIM LTDA |15/12/2023 11:22:18|1
43|66953|MILANO COMERCIO VAREJISTA DE A|15/12/2023 11:23:02|1
43|852961|WICKBOLD N PAO IND ALIM LTDA  |15/12/2023 11:23:24|1
43|852962|WICKBOLD N PAO IND ALIM LTDA  |15/12/2023 11:23:42|1
43|852963|WICKBOLD N PAO IND ALIM LTDA  |15/12/2023 11:24:04|1
43|26456|PANIFICADORA SCHWARZBROT LTDA |15/12/2023 11:26:18|1
43|231157|PRIME CATER COM PROD ALIM LTDA|15/12/2023 15:26:00|1
43|232313|MOSELTAL PAES E MASSAS LTDA   |15/12/2023 15:26:30|1
43|19213|GENERAL MILLS BRASIL ALIM LTDA|15/12/2023 15:26:50|1
43|55844|AGUA DE COCO MACENA LTDA      |15/12/2023 15:27:55|1
43|55807|AGUA DE COCO MACENA LTDA      |15/12/2023 15:28:17|1
43|9107|143 COMERCIO DE ALIMENTOS E BE|15/12/2023 15:28:38|1
43|55891|AGUA DE COCO MACENA LTDA      |15/12/2023 15:29:01|1
43|4679|A FERMENTEIRA IND COM DE ALIM |15/12/2023 15:29:25|1
43|23714|MAWI ESTUDO E PRODUCAO DE BROT|15/12/2023 15:29:47|1
43|80588|KLONEX COM.DE MATERIAL LIMPEZA|15/12/2023 15:31:16|1
43|21789|BW ALIMENTOS COMERCIO ATACADIS|15/12/2023 15:32:21|1
43|4150|UNI ESTRELA COMERCIO DE TINTAS|15/12/2023 15:32:41|1
43|667516|I DON FRANCESCO LATIC LTDA    |15/12/2023 15:37:00|1
